,title,venue,pages,year,type,access,doi
13877,User Tampering in Reinforcement Learning Recommender Systems.,AIES,58-69,2023,Conference and Workshop Papers,closed,10.1145/3600211.3604669
13878,SAIL (UNIST) team Participation in KBP 2016 Cold-Start Slot filling.,TAC,,2016,Informal and Other Publications,open,
13879,"Federated learning-based AI approaches in smart healthcare: concepts, taxonomies, challenges and open issues.",Clust. Comput.,2271-2311,2023,Journal Articles,closed,10.1007/S10586-022-03658-4
13880,BERT4Loc: BERT for Location - POI Recommender System.,Future Internet,213,2023,Journal Articles,open,10.3390/FI15060213
13881,MAPS: A Multi Aspect Personalized POI Recommender System.,RecSys,281-284,2016,Conference and Workshop Papers,closed,10.1145/2959100.2959187
13882,Interactive Visualization of Recommender Systems Data.,SHCIS@DAIS,19-24,2017,Conference and Workshop Papers,closed,10.1145/3099012.3099014
13883,A New Weighted Similarity Method Based on Neighborhood User Contributions for Collaborative Filtering.,DSC,376-381,2016,Conference and Workshop Papers,closed,10.1109/DSC.2016.23
13884,A data-driven personalized smart lighting recommender system.,CoRR,,2021,Informal and Other Publications,open,
13885,A new approach for combining content-based and collaborative filters.,J. Intell. Inf. Syst.,79-91,2006,Journal Articles,closed,10.1007/S10844-006-8771-2
13886,Towards Integrating Collaborative Filtering in Visual Data Exploration Systems.,ADBIS,153-160,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-30278-8_19
13887,Mobile Personalized Service Recommender Model Based on Sentiment Analysis and Privacy Concern.,Mob. Inf. Syst.,8071251:1-8071251:13,2018,Journal Articles,open,10.1155/2018/8071251
13888,Online Recommender System for Personalized Nutrition Advice.,RecSys,411-415,2017,Conference and Workshop Papers,closed,10.1145/3109859.3109862
13889,A Community-Based Collaborative Filtering System Dealing with Sparsity Problem and Data Imperfections.,PRICAI,884-890,2014,Conference and Workshop Papers,closed,10.1007/978-3-319-13560-1_74
13890,Collaborative filtering recommendation based on conditional probability and weight adjusting.,Int. J. Comput. Sci. Eng.,164-170,2015,Journal Articles,closed,10.1504/IJCSE.2015.067073
13891,One4all User Representation for Recommender Systems in E-commerce.,CoRR,,2021,Informal and Other Publications,open,
13892,Design-Focused Development of a Course Recommender System for Digital Study Planning.,ADBIS,575-582,2023,Conference and Workshop Papers,closed,10.1007/978-3-031-42941-5_50
13893,A Recommender System Based on Model Regularization Wasserstein Generative Adversarial Network.,SMC,2043-2048,2021,Conference and Workshop Papers,closed,10.1109/SMC52423.2021.9659011
13894,Incorporating user preferences in ant colony optimization for the next release problem.,Appl. Soft Comput.,1283-1296,2016,Journal Articles,closed,10.1016/J.ASOC.2016.06.027
13895,Predicting user preferences - An evaluation of popular relevance metrics.,ISI,24-35,2011,Conference and Workshop Papers,open,10.5281/ZENODO.4134438
13896,Large Language Models are Competitive Near Cold-start Recommenders for Language- and Item-based Preferences.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2307.14225
13897,"Gray Sheep, Influential Users, User Modeling and Recommender System Adoption by Startups.",RecSys,443-446,2016,Conference and Workshop Papers,closed,10.1145/2959100.2959103
13898,Learning to Collaborate and Collaborating to Learn: An Experiential Approach to Teaching Collaborative Systems.,J. Theor. Appl. Electron. Commer. Res.,36-44,2006,Journal Articles,open,10.3390/JTAER1020011
13899,Distributed Implementation of Latent Rating Pattern Sharing Based Cross-domain Recommender System Approach.,BigData Congress,482-489,2014,Conference and Workshop Papers,closed,10.1109/BIGDATA.CONGRESS.2014.77
13900,One Model to Enhance Them All: Array Geometry Agnostic Multi-Channel Personalized Speech Enhancement.,ICASSP,271-275,2022,Conference and Workshop Papers,closed,10.1109/ICASSP43922.2022.9747395
13901,User Similarity Adjustment for Improved Recommendations.,MIKE,515-525,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-26832-3_48
13902,Big Data Visualization Collaborative Filtering Algorithm Based on RHadoop.,Int. J. Distributed Sens. Networks,271253:1-271253:9,2015,Journal Articles,open,10.1155/2015/271253
13903,A practical approach for constructing an adaptive tutoring model based on concept map.,VECIMS,298-303,2009,Conference and Workshop Papers,closed,10.1109/VECIMS.2009.5068912
13904,Simplify and Robustify Negative Sampling for Implicit Collaborative Filtering.,NeurIPS,,2020,Conference and Workshop Papers,open,
13905,Online certification of preference-based fairness for personalized recommender systems.,CoRR,,2021,Informal and Other Publications,open,
13906,Personalized planning and training system for brachytherapy based on virtual reality.,Virtual Real.,347-361,2019,Journal Articles,closed,10.1007/S10055-018-0350-7
13907,Impacts of User Privacy Preferences on Personalized Systems.,Designing Personalized User Experiences in eCommerce,315-332,2004,Parts in Books or Collections,closed,10.1007/1-4020-2148-8_17
13908,MSR System Description - TAC 2016 KBP Cold Start Slof Filling Track.,TAC,,2016,Informal and Other Publications,open,
13909,When Differential Privacy Meets Randomized Perturbation: A Hybrid Approach for Privacy-Preserving Recommender System.,DASFAA,576-591,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-55753-3_36
13910,Named Entity Filtering Based on Concept Association Graphs.,Res. Comput. Sci.,33-43,2013,Journal Articles,open,
13911,Mechanism Design for Personalized Recommender Systems.,RecSys,159-166,2016,Conference and Workshop Papers,closed,10.1145/2959100.2959135
13912,The influence of affordances on user preferences for multimedia language learning applications.,Behav. Inf. Technol.,277-289,2016,Journal Articles,closed,10.1080/0144929X.2016.1151077
13913,Personalized Job Recommendation System at LinkedIn: Practical Challenges and Lessons Learned.,RecSys,346-347,2017,Conference and Workshop Papers,closed,10.1145/3109859.3109921
13914,On over-specialization and concentration bias of recommendations: probabilistic neighborhood selection in collaborative filtering systems.,RecSys,153-160,2014,Conference and Workshop Papers,closed,10.1145/2645710.2645752
13915,Recommender Systems in the Museum Sector: An Overview.,AINA,251-260,2023,Conference and Workshop Papers,closed,10.1007/978-3-031-28694-0_23
13916,A/B Testing for Recommender Systems in a Two-sided Marketplace.,CoRR,,2021,Informal and Other Publications,open,
13917,GoRec: A Generative Cold-start Recommendation Framework.,ACM Multimedia,1004-1012,2023,Conference and Workshop Papers,closed,10.1145/3581783.3612238
13918,A Staffing Recommender System based on Domain-Specific Knowledge Graph.,SNAMS,1-6,2021,Conference and Workshop Papers,closed,10.1109/SNAMS53716.2021.9732087
13919,Collaborative Filtering for Predicting Users' Potential Preferences.,KES,44-52,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-23866-6_5
13920,A human-centric machine learning based personalized route choice prediction in navigation systems.,J. Intell. Transp. Syst.,523-535,2023,Journal Articles,closed,10.1080/15472450.2022.2069499
13921,"Enhanced Collaborative Filtering Through User-Item Subgroups, Particle Swarm Optimization and Fuzzy C-Means.",Canadian AI,94-106,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-18305-9_8
13922,A ubiquitous recommender system based on collaborative filtering and social networking data.,Int. J. Intell. Eng. Informatics,186-204,2015,Journal Articles,closed,10.1504/IJIEI.2015.069895
13923,Towards building and evaluating a personalized location-based recommender system.,IEEE BigData,43-48,2014,Conference and Workshop Papers,closed,10.1109/BIGDATA.2014.7004211
13924,Hybrid Recommender System based on Autoencoders.,DLRS@RecSys,11-16,2016,Conference and Workshop Papers,closed,10.1145/2988450.2988456
13925,MemX: An Attention-Aware Smart Eyewear System for Personalized Moment Auto-capture.,CoRR,,2021,Informal and Other Publications,open,
13926,"Selecting the right robot: Influence of user attitude, robot sociability and embodiment on user preferences.",RO-MAN,682-687,2015,Conference and Workshop Papers,closed,10.1109/ROMAN.2015.7333598
13927,Enhancing Collaborative Filtering-Based Recommender System Using Sentiment Analysis.,Future Internet,235,2023,Journal Articles,open,10.3390/FI15070235
13928,Neural Cross-Domain Collaborative Filtering with Shared Entities.,ECML/PKDD,729-745,2020,Conference and Workshop Papers,closed,10.1007/978-3-030-67658-2_42
13929,Collaborative Edge Caching with Personalized Modeling of Content Popularity over Indoor Mobile Social Networks.,ICC,4114-4119,2022,Conference and Workshop Papers,closed,10.1109/ICC45855.2022.9838480
13930,Ontological reranking approach for hybrid concept similarity-based video shots indexation.,WIAMIS,226-229,2009,Conference and Workshop Papers,closed,10.1109/WIAMIS.2009.5031474
13931,An Online Personalized Reputation Estimation Model for Service-Oriented Systems.,SCC,116-120,2019,Conference and Workshop Papers,closed,10.1109/SCC.2019.00029
13932,The CARL institutional repositories project: A collaborative approach to addressing the challenges of IRs in Canada.,Libr. Hi Tech,165-172,2006,Journal Articles,closed,10.1108/07378830610669547
13933,TAC KBP 2016 Cold Start Slot Filling and Slot Filler Validation Systems by IRT SystemX.,TAC,,2016,Informal and Other Publications,open,
13934,PERSPeCT: collaborative filtering for tailored health communications.,RecSys,329-332,2014,Conference and Workshop Papers,closed,10.1145/2645710.2645768
13935,Solution Recommender for System Failure Recovery via Log Event Pattern Matching on a Knowledge Graph: Demo.,DEBS,331-334,2017,Conference and Workshop Papers,closed,10.1145/3093742.3095094
13936,A Local Updating Algorithm for Personalized PageRank via Chebyshev Polynomials.,CoRR,,2021,Informal and Other Publications,open,
13937,Framing and Measuring Multi-dimensional Interpersonal Privacy Preferences of Social Networking Site Users.,Commun. Assoc. Inf. Syst.,10,2016,Journal Articles,closed,10.17705/1CAIS.03810
13938,"A Recommender System for Personalized Exploration of Majors, Minors, and Concentrations.",RecSys Posters,,2017,Conference and Workshop Papers,open,
13939,Exploring user preferences for indoor navigation support through a combination of mobile and fixed displays.,Mobile HCI,201-210,2011,Conference and Workshop Papers,closed,10.1145/2037373.2037405
13940,An effective preprocessing algorithm for model building in collaborative filtering-based recommender system.,Int. J. Bus. Intell. Data Min.,489-503,2019,Journal Articles,closed,10.1504/IJBIDM.2019.099964
13941,PURS: Personalized Unexpected Recommender System for Improving User Satisfaction.,CoRR,,2021,Informal and Other Publications,open,
13942,Collaborative Filtering with Entropy-Driven User Similarity in Recommender Systems.,Int. J. Intell. Syst.,854-870,2015,Journal Articles,closed,10.1002/INT.21735
13943,An Efficient Recommender System Based on Collaborative Filtering Recommendation and Cluster Ensemble.,SNAMS,1-6,2021,Conference and Workshop Papers,closed,10.1109/SNAMS53716.2021.9732118
13944,Matrix and Tensor Decomposition in Recommender Systems.,RecSys,429-430,2016,Conference and Workshop Papers,closed,10.1145/2959100.2959195
13945,PTeacher: a Computer-Aided Personalized Pronunciation Training System with Exaggerated Audio-Visual Corrective Feedback.,CoRR,,2021,Informal and Other Publications,open,
13946,4th Workshop on Emotions and Personality in Personalized Systems (EMPIRE).,RecSys,407,2016,Conference and Workshop Papers,closed,10.1145/2959100.2959201
13947,A Cross-Platform Personalized Recommender System for Connecting E-Commerce and Social Network.,Future Internet,13,2023,Journal Articles,open,10.3390/FI15010013
13948,A Recommender System for Process Discovery.,BPM,67-83,2014,Conference and Workshop Papers,closed,10.1007/978-3-319-10172-9_5
13949,Construction of Personalized Learning Model Supported by Human-computer Cooperation.,ICETM,39-44,2022,Conference and Workshop Papers,closed,10.1145/3582580.3582588
13950,A Content-Based Approach to Medical Image Database Retrieval.,"Database Technologies - Concepts, Methodologies, Tools, and Applications",1062-1083,2009,Parts in Books or Collections,closed,
13951,A Novel Movie Recommendation System Based on Collaborative Filtering and Neural Networks.,AINA,895-903,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-15032-7_75
13952,Collaborative approaches to designing effective digital image databases for the study of three-dimensional museum collections.,OCLC Syst. Serv.,263-282,2006,Journal Articles,closed,10.1108/10650750610706989
13953,NAIST Participation in the TAC KBP 2016 Cold Start Slot Filling Task: Combining CNN-based and Bootstrapping-based Methods.,TAC,,2016,Informal and Other Publications,open,
13954,Collaborative Computation Offloading for Photovoltaic Power Prediction in Energy Internet: A Similarity-Aware Stable Matching Approach.,IEEE Internet Things J.,19712-19724,2023,Journal Articles,closed,10.1109/JIOT.2023.3283269
13955,A Hybrid Explanations Framework for Collaborative Filtering Recommender Systems.,RecSys Posters,,2014,Conference and Workshop Papers,open,
13956,Including Users Preferences in the Decision Making for Discrete Many Objective Optimization Problems.,Computación y Sistemas,,2016,Journal Articles,closed,10.13053/CYS-20-4-2501
13957,Open Affect-Responsive Systems: Toward Personalized AI to Beat Back the Waves of Technostress.,AAAI Spring Symposium - Interpretable AI for Well-being,,2019,Conference and Workshop Papers,open,
13958,Content-Based Collaborative Filtering using Word Embedding: A Case Study on Movie Recommendation.,RACS,96-100,2020,Conference and Workshop Papers,closed,10.1145/3400286.3418253
13959,Sequence Unlearning for Sequential Recommender Systems.,AI,403-415,2023,Conference and Workshop Papers,closed,10.1007/978-981-99-8388-9_33
13960,An Empirical Analysis on Transparent Algorithmic Exploration in Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
13961,Content-Based Multimedia Retrieval in the Presence of Unknown User Preferences.,MMM,140-150,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-17832-0_14
13962,Web based disease prediction and recommender system.,CoRR,,2021,Informal and Other Publications,open,
13963,A Tailor made System for providing Personalized Services.,SEKE,495-500,2017,Conference and Workshop Papers,open,10.18293/SEKE2017-151
13964,Collaborative Filtering for people-to-people recommendation in online dating: Data analysis and user trial.,Int. J. Hum. Comput. Stud.,50-66,2015,Journal Articles,closed,10.1016/J.IJHCS.2014.12.003
13965,A Multi-Recommenders System for Service Provisioning in Multi-Cloud Environment.,DEXA Workshops,142-146,2017,Conference and Workshop Papers,closed,10.1109/DEXA.2017.45
13966,A personalized limb rehabilitation training system for stroke patients.,ROBIO,1924-1929,2016,Conference and Workshop Papers,closed,10.1109/ROBIO.2016.7866610
13967,Learning from My Friends: Few-Shot Personalized Conversation Systems via Social Networks.,CoRR,,2021,Informal and Other Publications,open,
13968,"Recommender Systems for Outdoor Adventure Tourism Sports: Hiking, Running and Climbing.",Hum. Centric Intell. Syst.,344-365,2023,Journal Articles,open,10.1007/S44230-023-00033-3
13969,The lilian Cold Start System for TAC 2016.,TAC,,2016,Informal and Other Publications,open,
13970,A Tree-based Model Averaging Approach for Personalized Treatment Effect Estimation from Heterogeneous Data Sources.,ICML,21013-21036,2022,Conference and Workshop Papers,open,
13971,Une approche organisationnelle pour la conception d'un système de gestion des connaissances fondé sur le paradigme agent. (An organizational approach to design a knowledge management system based on the agent paradigm).,,,2008,Books and Theses,open,
13972,Iterative Collaborative Filtering for Sparse Noisy Tensor Estimation.,Allerton,904-909,2019,Conference and Workshop Papers,closed,10.1109/ALLERTON.2019.8919933
13973,Evaluating recommender systems in feature model configuration.,SPLC,58-63,2021,Conference and Workshop Papers,closed,10.1145/3461001.3471144
13974,Web Browsing on Small-Screen Devices: A Multiclient Collaborative Approach.,IEEE Pervasive Comput.,78-84,2006,Journal Articles,closed,10.1109/MPRV.2006.42
13975,MoocRec.com : Massive Open Online Courses Recommender System.,RecSys Posters,,2016,Conference and Workshop Papers,open,
13976,Exploiting Social Tags in Matrix Factorization Models for Cross-domain Collaborative Filtering.,CBRecSys@RecSys,34-41,2014,Conference and Workshop Papers,open,
13977,On Some Approach to Evaluation in Personalized Document Retrieval Systems.,ACIIDS,207-216,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-14799-0_18
13978,Digital library search preferences amongst historians and genealogists: British History Online user survey.,Digit. Humanit. Q.,,2016,Journal Articles,open,
13979,Understanding How News Recommender Systems Influence Selective Exposure.,BehavRec@RecSys,,2023,Conference and Workshop Papers,open,
13980,Multimodal Interactions in Recommender Systems: An Ensembling Approach.,BRACIS,67-72,2014,Conference and Workshop Papers,closed,10.1109/BRACIS.2014.23
13981,PURS: Personalized Unexpected Recommender System for Improving User Satisfaction.,CoRR,,2021,Informal and Other Publications,open,
13982,Bidirectional Distillation for Top-K Recommender System.,CoRR,,2021,Informal and Other Publications,open,
13983,Federated Privacy-preserving Collaborative Filtering for On-Device Next App Prediction.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2303.04744
13984,Coupled Bayesian Matrix Factorization in Recommender Systems.,DSAA,522-528,2017,Conference and Workshop Papers,closed,10.1109/DSAA.2017.9
13985,An Approach for an Affective Educational Recommendation Model.,Recommender Systems for Technology Enhanced Learning,123-143,2014,Parts in Books or Collections,closed,10.1007/978-1-4939-0530-0_6
13986,Developing Advanced Technology Services for Diabetes Management: User Preferences in Europe.,MobiHealth,69-74,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-29734-2_10
13987,Personalized time-aware outdoor activity recommendation system.,SAC,1121-1126,2016,Conference and Workshop Papers,closed,10.1145/2851613.2851814
13988,Review of User Interface-Facilitated Serendipity in Recommender Systems.,Int. J. Interact. Commun. Syst. Technol.,1-19,2023,Journal Articles,open,10.4018/IJICST.320180
13989,Une approche épiphyte pour la conception de systèmes conseillers. (An epiphyte approach for building Model-Based Recommender Systems).,,,2008,Books and Theses,open,
13990,Explainable Recommendations via Attentive Multi-Persona Collaborative Filtering.,RecSys,468-473,2020,Conference and Workshop Papers,closed,10.1145/3383313.3412226
13991,Causal Inference for Personalized Treatment Effect Estimation for given Machine Learning Models.,ICMLA,1289-1295,2022,Conference and Workshop Papers,closed,10.1109/ICMLA55696.2022.00206
13992,Social Collaborative Filtering Approach for Recommending Courses in an E-learning Platform.,ANT/EDI40,1164-1169,2019,Conference and Workshop Papers,closed,10.1016/J.PROCS.2019.04.166
13993,The semantic optimisation of collaborative filtering systems.,Int. J. Metadata Semant. Ontologies,84-91,2015,Journal Articles,closed,10.1504/IJMSO.2015.070823
13994,Modelling Contextual Information in Session-Aware Recommender Systems with Neural Networks.,RecSys,273-276,2016,Conference and Workshop Papers,closed,10.1145/2959100.2959162
13995,Fuzzy Logic Based Personalized Task Recommendation System for Field Services.,SGAI Conf.,300-312,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-71078-5_26
13996,Method for the analysis of the preferences of network users.,IET Networks,8-12,2016,Journal Articles,closed,10.1049/IET-NET.2014.0103
13997,'Free lunch' enhancement for collaborative filtering with factorization machines.,RecSys,281-284,2014,Conference and Workshop Papers,closed,10.1145/2645710.2645771
13998,Persuasion for Good: Towards a Personalized Persuasive Dialogue System for Social Good.,ACL,5635-5649,2019,Conference and Workshop Papers,open,10.18653/V1/P19-1566
13999,Aspect-based latent factor model by integrating ratings and reviews for recommender system.,Knowl. Based Syst.,233-243,2016,Journal Articles,closed,10.1016/J.KNOSYS.2016.07.033
14000,"CMUML Micro-Reader System for KBP 2016 Cold Start Slot Filling, Event Nugget Detection, and Event Argument Linking.",TAC,,2016,Informal and Other Publications,open,
14001,Modeling multi-attribute and implicit relationship factors with self-supervised learning for recommender systems.,Intell. Data Anal.,691-708,2023,Journal Articles,closed,10.3233/IDA-226576
14002,A Semi-Personalized System for User Cold Start Recommendation on Music Streaming Apps.,CoRR,,2021,Informal and Other Publications,open,
14003,Multi-output Gaussian Processes for Uncertainty-aware Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
14004,Preface: Opportunities and Issues of Persuasive Recommender Systems.,BehavRec@RecSys,,2023,Conference and Workshop Papers,open,
14005,Towards a Hybrid Expert System Based on Sleep Event's Threshold Dependencies for Automated Personalized Sleep Staging by Combining Symbolic Fusion and Differential Evolution Algorithm.,IEEE Access,1775-1792,2019,Journal Articles,open,10.1109/ACCESS.2018.2887082
14006,An Intelligent Data Integration Approach for Collaborative Project Management in Virtual Enterprises.,World Wide Web,35-61,2006,Journal Articles,closed,10.1007/S11280-005-2322-7
14007,Bacterial colony algorithm with adaptive attribute learning strategy for feature selection in classification of customers for personalized recommendation.,Neurocomputing,747-755,2021,Journal Articles,closed,10.1016/J.NEUCOM.2020.07.142
14008,Personalized recommender system for event attendees.,SMAP,65-70,2016,Conference and Workshop Papers,closed,10.1109/SMAP.2016.7753386
14009,Recommender Systems Meeting Security: From Product Recommendation to Cyber-Attack Prediction.,EANN,508-519,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-65172-9_43
14010,Multi-Modal Recommender Systems: Hands-On Exploration.,RecSys,834-837,2021,Conference and Workshop Papers,closed,10.1145/3460231.3473324
14011,A Survey of Collaborative Filtering-Based Recommender Systems for Mobile Internet Applications.,IEEE Access,3273-3287,2016,Journal Articles,open,10.1109/ACCESS.2016.2573314
14012,Consumer acceptance of social recommender systems in India.,Online Inf. Rev.,723-744,2020,Journal Articles,closed,10.1108/OIR-05-2018-0177
14013,Collaborative filtering based on workflow space.,Expert Syst. Appl.,7873-7881,2009,Journal Articles,closed,10.1016/J.ESWA.2008.11.047
14014,Less Can Be More: Exploring Population Rating Dispositions with Partitioned Models in Recommender Systems.,UMAP,291-295,2023,Conference and Workshop Papers,closed,10.1145/3563359.3597390
14015,Collaborative decision making: an implementation of the Delphi approach in a social platform.,CASCON,57-71,2012,Conference and Workshop Papers,closed,
14016,A Personalised Hybrid Learning Object Recommender System.,MEDES,242-249,2019,Conference and Workshop Papers,closed,10.1145/3297662.3365810
14017,SLiQA-I: Towards Cold-start Development of End-to-end Spoken Language Interface for Question Answering.,ICASSP,7195-7199,2019,Conference and Workshop Papers,closed,10.1109/ICASSP.2019.8683311
14018,ORSUM 2021 - 4th Workshop on Online Recommender Systems and User Modeling.,RecSys,792-793,2021,Conference and Workshop Papers,closed,10.1145/3460231.3470940
14019,Multiperspective and Multidisciplinary Treatment of Fairness in Recommender Systems Research.,UMAP,90-94,2022,Conference and Workshop Papers,closed,10.1145/3511047.3536400
14020,Comprehensive Fair Meta-learned Recommender System.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2206.04789
14021,"Conversational recommender systems techniques, tools, acceptance, and adoption: A state of the art review.",Expert Syst. Appl.,117539,2022,Journal Articles,closed,10.1016/J.ESWA.2022.117539
14022,Offline Evaluation Standards for Recommender Systems.,RecSys,567-568,2021,Conference and Workshop Papers,closed,10.1145/3460231.3474608
14023,Considerations on Collaborative ERP Implementation Planning: A Design Science Approach.,IKE,359-365,2010,Conference and Workshop Papers,unavailable,
14024,Recommender algorithms in activity motivating games.,RecSys,175-182,2010,Conference and Workshop Papers,closed,10.1145/1864708.1864742
14025,Memetic collaborative approaches for finding balanced incomplete block designs.,Comput. Oper. Res.,,2020,Journal Articles,closed,10.1016/J.COR.2019.104804
14026,Perspectives on the Evaluation of Recommender Systems (PERSPECTIVES).,RecSys,794-795,2021,Conference and Workshop Papers,closed,10.1145/3460231.3470929
14027,A systematic literature review on the state of research and practice of collaborative filtering technique and implicit feedback.,Artif. Intell. Rev.,167-201,2016,Journal Articles,closed,10.1007/S10462-015-9443-9
14028,Influence of informational factors on purchase intention in social recommender systems.,Online Inf. Rev.,417-431,2020,Journal Articles,closed,10.1108/OIR-12-2016-0360
14029,Improved collaborative filtering algorithm based on heat conduction.,Frontiers Comput. Sci. China,417-420,2009,Journal Articles,closed,10.1007/S11704-009-0050-2
14030,Towards Universal Sequence Representation Learning for Recommender Systems.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2206.05941
14031,A Recommender System to Help Refining Clinical Research Studies.,MIE,327-331,2021,Conference and Workshop Papers,closed,10.3233/SHTI210174
14032,Towards Unified Metrics for Accuracy and Diversity for Recommender Systems.,RecSys,75-84,2021,Conference and Workshop Papers,closed,10.1145/3460231.3474234
14033,Simulation and Optimization in Collaborative Ship Design: Innovative Approach.,CDVE,151-154,2012,Conference and Workshop Papers,closed,10.1007/978-3-642-32609-7_20
14034,Semantic Graph-Based Recommender System. Application in Cultural Heritage.,MEDI Workshops,109-121,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-32213-7_8
14035,Recommender Systems Meet Species Distribution Modelling.,Perspectives@RecSys,,2021,Conference and Workshop Papers,open,
14036,Evaluation of an Engagement-Aware Recommender System for People with Dementia.,UMAP,89-98,2022,Conference and Workshop Papers,closed,10.1145/3503252.3531318
14037,VisRec: A Hands-on Tutorial on Deep Learning for Visual Recommender Systems.,IUI Companion,5-6,2021,Conference and Workshop Papers,closed,10.1145/3397482.3450620
14038,Multistakeholder Recommender Systems in Tourism.,RecTour@RecSys,39-53,2021,Conference and Workshop Papers,open,
14039,A Hybrid Recommender System for Sequential Recommendation: Combining Similarity Models With Markov Chains.,IEEE Access,190136-190146,2020,Journal Articles,open,10.1109/ACCESS.2020.3027380
14040,Political communication on social media: A tale of hyperactive users and bias in recommender systems.,Online Soc. Networks Media,100058,2020,Journal Articles,open,10.1016/J.OSNEM.2019.100058
14041,Research on Cold-Start Problem of Collaborative Filtering Algorithm.,ICBDR,67-71,2019,Conference and Workshop Papers,closed,10.1145/3372454.3372470
14042,Using Bert Embedding to improve memory-based collaborative filtering recommender systems.,RIVF,1-6,2021,Conference and Workshop Papers,closed,10.1109/RIVF51545.2021.9642103
14043,"Developing an NLP-based Recommender System for the Ethical, Legal, and Social Implications of Synthetic Biology.",CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2207.06360
14044,Personalized Location Recommendation System Personalized Location Recommendation System: A Review.,Int. J. Appl. Evol. Comput.,49-58,2019,Journal Articles,closed,10.4018/IJAEC.2019010104
14045,A metrology-based approach for measuring the social dimension of cognitive trust in collaborative networks.,Cogn. Technol. Work.,235-248,2020,Journal Articles,closed,10.1007/S10111-018-0483-1
14046,A Five-Layer Approach in Collaborative Learning Systems Design with Respect to Emotion.,INCoS,290-296,2010,Conference and Workshop Papers,closed,10.1109/INCOS.2010.36
14047,Utilizing textual reviews in latent factor models for recommender systems.,SAC,1931-1940,2021,Conference and Workshop Papers,closed,10.1145/3412841.3442065
14048,A Multi-fold Time Approach to Address Emotions in Live and Virtualized Collaborative Learning.,CISIS,881-886,2012,Conference and Workshop Papers,closed,10.1109/CISIS.2012.197
14049,Item feature refinement using matrix factorization and boosted learning based user profile generation for content-based recommender systems.,Expert Syst. Appl.,117849,2022,Journal Articles,closed,10.1016/J.ESWA.2022.117849
14050,A Hybrid Course Recommendation System by Integrating Collaborative Filtering and Artificial Immune Systems.,Algorithms,47,2016,Journal Articles,open,10.3390/A9030047
14051,Learning an Adaptive Meta Model-Generator for Incrementally Updating Recommender Systems.,RecSys,411-421,2021,Conference and Workshop Papers,closed,10.1145/3460231.3474239
14052,Personalizing Product Recommendations using Collaborative Filtering in Online Retail: A Machine Learning Approach.,ICIT,19-24,2023,Conference and Workshop Papers,closed,10.1109/ICIT58056.2023.10226042
14053,Image Recommendation Algorithm Using Feature-Based Collaborative Filtering.,IEICE Trans. Inf. Syst.,413-421,2009,Journal Articles,closed,10.1587/TRANSINF.E92.D.413
14054,Collaborative approach in developing regulations for mobile money in Sri Lanka.,Electron. J. Inf. Syst. Dev. Ctries.,,2020,Journal Articles,closed,10.1002/ISD2.12129
14055,The 2019 Multimedia for Recommender System Task: MovieREC and NewsREEL at MediaEval.,MediaEval,,2019,Conference and Workshop Papers,open,
14056,AutoGen: An Automated Dynamic Model Generation Framework for Recommender System.,WSDM,598-606,2023,Conference and Workshop Papers,closed,10.1145/3539597.3570456
14057,KA-Recsys: Patient Focused Knowledge Appropriate Health Recommender System.,UMAP,321-325,2022,Conference and Workshop Papers,closed,10.1145/3503252.3534356
14058,Imputation Strategies for Cold-Start Users in NMF-Based Recommendation Systems.,ICISDM,119-128,2019,Conference and Workshop Papers,closed,10.1145/3325917.3325933
14059,A topical PageRank based algorithm for recommender systems.,SIGIR,713-714,2008,Conference and Workshop Papers,closed,10.1145/1390334.1390465
14060,On the instability of embeddings for recommender systems: the case of matrix factorization.,SAC,1363-1370,2021,Conference and Workshop Papers,closed,10.1145/3412841.3442011
14061,Improving recommender systems by encoding items and user profiles considering the order in their consumption history.,Prog. Artif. Intell.,67-75,2020,Journal Articles,closed,10.1007/S13748-019-00199-7
14062,KLGCN: Knowledge graph-aware Light Graph Convolutional Network for recommender systems.,Expert Syst. Appl.,116513,2022,Journal Articles,closed,10.1016/J.ESWA.2022.116513
14063,Overlapping community detection in software ecosystem based on pheromone guided personalized PageRank algorithm.,Inf. Softw. Technol.,107283,2023,Journal Articles,closed,10.1016/J.INFSOF.2023.107283
